,title,price,link,brand
0,nintendo switch games new games added!,10,https://charlottesville.craigslist.org/vgm/d/waynesboro-nintendo-switch-games-new/7787251435.html,nintendo
1,death stranding playstation 4 game new sealed,15,https://charlottesville.craigslist.org/vgm/d/staunton-death-stranding-playstation/7785619426.html,playstation
2,cod modern warfare 2 ps3 game call of duty modern warfare 2,5,https://charlottesville.craigslist.org/vgm/d/staunton-cod-modern-warfare-ps3-game/7785239622.html,playstation
3,lots of cheap playstation 4 games (some sealed!) all work on ps4/ps5!,10,https://charlottesville.craigslist.org/vgm/d/staunton-lots-of-cheap-playstation/7785053818.html,playstation
4,► penguin wars ps4 rare game,20,https://charlottesville.craigslist.org/vgm/d/charlottesville-penguin-wars-ps4-rare/7783268104.html,playstation
5,mass effect 3 ps3 game excellent condition,5,https://charlottesville.craigslist.org/vgm/d/staunton-mass-effect-ps3-game-excellent/7785054513.html,playstation
6,"ps5 games, controllers & more",10,https://charlottesville.craigslist.org/vgm/d/staunton-ps5-games-controllers-more/7780159669.html,playstation
7,ps vita games,10,https://charlottesville.craigslist.org/vgm/d/staunton-ps-vita-games/7781356366.html,ps
8,"nes nintendo console, super mario bros/duck hunt, 2 controllers, more",120,https://charlottesville.craigslist.org/vgm/d/charlottesville-nes-nintendo-console/7783624918.html,nintendo
9,"nintendo wii console, fit balance board, 2 games, 4 controllers, more",80,https://charlottesville.craigslist.org/vgm/d/charlottesville-nintendo-wii-console/7781531346.html,nintendo
10,"super nintendo console, 6 games, 2 controllers, cables, extras",125,https://charlottesville.craigslist.org/vgm/d/charlottesville-super-nintendo-console/7782452478.html,nintendo
11,"nintendo 64 console, star wars game, 4 controllers, cables",120,https://charlottesville.craigslist.org/vgm/d/charlottesville-nintendo-64-console/7788700644.html,nintendo
12,streets of rage 4 ps4 ps5,15,https://charlottesville.craigslist.org/vgm/d/staunton-streets-of-rage-ps4-ps5/7785238896.html,playstation
13,"ps5 games, controllers, and more",10,https://charlottesville.craigslist.org/vgm/d/staunton-ps5-games-controllers-and-more/7778994498.html,playstation
14,nintendo switch: new/sealed zelda tears of the kingdom,60,https://charlottesville.craigslist.org/vgm/d/charlottesville-nintendo-switch-new/7787023166.html,nintendo
15,nintendo switch: super mario wonder,35,https://charlottesville.craigslist.org/vgm/d/charlottesville-nintendo-switch-super/7787023083.html,nintendo
16,acrade machine,1500,https://charlottesville.craigslist.org/vgm/d/charlottesville-acrade-machine/7781481284.html,missing
17,sony vr2 headset,400,https://charlottesville.craigslist.org/vgm/d/charlottesville-sony-vr2-headset/7779577720.html,sony
18,nintendo switch portable 6 gaming console - neon blue/neon red,150,https://charlottesville.craigslist.org/vgm/d/charlottesville-nintendo-switch/7778249998.html,nintendo
19,xbox one with controller,159,https://charlottesville.craigslist.org/vgm/d/xbox-one-with-controller/7769703330.html,xbox
20,xbox one with controller in box. like new disc games avaialable.,169,https://charlottesville.craigslist.org/vgm/d/charlottesville-xbox-one-with/7769703915.html,xbox
